index	base cit	base line	tf/idf score	edit dist	compared cit	compared line	shared lemmas
1	1:21.1	ἀλλ' ὅτε δὴ πόρον ἷξον ἐϋρρεῖος ποταμοῖο	39.7	100	1:14.433	ἀλλ' ὅτε δὴ πόρον ἷξον ἐϋρρεῖος ποταμοῖο	{'πόρος': [5, '8.62'], 'ὅτε': [452, '4.12'], 'ἀλλά': [1430, '2.96'], 'ἵκω': [40, '6.54'], 'δή': [967, '3.35'], 'ποταμός': [113, '5.50'], 'ἐυρρεής': [5, '8.62']}
2	1:21.1	ἀλλ' ὅτε δὴ πόρον ἷξον ἐϋρρεῖος ποταμοῖο	39.7	100	1:24.692	ἀλλ' ὅτε δὴ πόρον ἷξον ἐϋρρεῖος ποταμοῖο	{'πόρος': [5, '8.62'], 'ὅτε': [452, '4.12'], 'ἀλλά': [1430, '2.96'], 'ἵκω': [40, '6.54'], 'δή': [967, '3.35'], 'ποταμός': [113, '5.50'], 'ἐυρρεής': [5, '8.62']}
3	1:21.1	ἀλλ' ὅτε δὴ πόρον ἷξον ἐϋρρεῖος ποταμοῖο	22.4	66	1:5.773	ἀλλ' ὅτε δὴ Τροίην ἷξον ποταμώ τε ῥέοντε ,	{'ὅτε': [452, '4.12'], 'ἀλλά': [1430, '2.96'], 'ἵκω': [40, '6.54'], 'δή': [967, '3.35'], 'ποταμός': [113, '5.50']}
4	1:21.1	ἀλλ' ὅτε δὴ πόρον ἷξον ἐϋρρεῖος ποταμοῖο	16.9	57	1:6.172	ἀλλ' ὅτε δὴ Λυκίην ἷξε Ξάνθόν τε ῥέοντα ,	{'ἵκω': [40, '6.54'], 'δή': [967, '3.35'], 'ὅτε': [452, '4.12'], 'ἀλλά': [1430, '2.96']}
5	1:21.1	ἀλλ' ὅτε δὴ πόρον ἷξον ἐϋρρεῖος ποταμοῖο	15.9	54	2:5.441	ἀλλ' ὅτε δὴ ποταμοῖο κατὰ στόμα καλλιρόοιο	{'ποταμός': [113, '5.50'], 'δή': [967, '3.35'], 'ὅτε': [452, '4.12'], 'ἀλλά': [1430, '2.96']}
6	1:21.1	ἀλλ' ὅτε δὴ πόρον ἷξον ἐϋρρεῖος ποταμοῖο	14.1	58	1:15.265	εἰωθὼς λούεσθαι ἐϋρρεῖος ποταμοῖο	{'ἐυρρεής': [5, '8.62'], 'ποταμός': [113, '5.50']}
7	1:21.1	ἀλλ' ὅτε δὴ πόρον ἷξον ἐϋρρεῖος ποταμοῖο	14.1	58	1:6.508	εἰωθὼς λούεσθαι ἐϋρρεῖος ποταμοῖο	{'ἐυρρεής': [5, '8.62'], 'ποταμός': [113, '5.50']}
8	1:21.1	ἀλλ' ὅτε δὴ πόρον ἷξον ἐϋρρεῖος ποταμοῖο	14.0	47	1:23.38	οἳ δ' ὅτε δὴ κλισίην Ἀγαμέμνονος ἷξον ἰόντες ,	{'ἵκω': [40, '6.54'], 'δή': [967, '3.35'], 'ὅτε': [452, '4.12']}
9	1:21.1	ἀλλ' ὅτε δὴ πόρον ἷξον ἐϋρρεῖος ποταμοῖο	12.9	47	2:6.85	αἱ δ' ὅτε δὴ ποταμοῖο ῥόον περικαλλέ' ἵκοντο ,	{'ποταμός': [113, '5.50'], 'δή': [967, '3.35'], 'ὅτε': [452, '4.12']}
10	1:21.1	ἀλλ' ὅτε δὴ πόρον ἷξον ἐϋρρεῖος ποταμοῖο	10.6	32	2:5.189	αὐτῇ μηδοίμην , ὅτε με χρειὼ τόσον ἵκοι ·	{'ἵκω': [40, '6.54'], 'ὅτε': [452, '4.12']}
11	1:21.1	ἀλλ' ὅτε δὴ πόρον ἷξον ἐϋρρεῖος ποταμοῖο	10.4	42	1:1.493	ἀλλ' ὅτε δή ῥ' ἐκ τοῖο δυωδεκάτη γένετ' ἠώς ,	{'δή': [967, '3.35'], 'ὅτε': [452, '4.12'], 'ἀλλά': [1430, '2.96']}
12	1:21.1	ἀλλ' ὅτε δὴ πόρον ἷξον ἐϋρρεῖος ποταμοῖο	10.4	42	1:10.338	ἀλλ' ὅτε δή ῥ' ἵππων τε καὶ ἀνδρῶν κάλλιφ' ὅμιλον ,	{'δή': [967, '3.35'], 'ὅτε': [452, '4.12'], 'ἀλλά': [1430, '2.96']}
13	1:21.1	ἀλλ' ὅτε δὴ πόρον ἷξον ἐϋρρεῖος ποταμοῖο	10.4	53	1:10.351	ἀλλ' ὅτε δή ῥ' ἀπέην ὅσσόν τ' ἐπὶ οὖρα πέλονται	{'δή': [967, '3.35'], 'ὅτε': [452, '4.12'], 'ἀλλά': [1430, '2.96']}
