index	base cit	base line	tf/idf score	edit dist	compared cit	compared line	shared lemmas
1	2:23.1	γρηῢς δ' εἰς ὑπερῷ' ἀνεβήσετο καγχαλόωσα ,	18.0	53	1:16.184	αὐτίκα δ' εἰς ὑπερῷ' ἀναβὰς παρελέξατο λάθρῃ	{'ὑπερῷον': [21, '7.18'], 'εἰς': [864, '3.48'], 'ἀναβαίνω': [44, '6.44'], 'δέ': [12138, '0.92']}
2	2:23.1	γρηῢς δ' εἰς ὑπερῷ' ἀνεβήσετο καγχαλόωσα ,	18.0	47	2:1.362	ἐς δ' ὑπερῷ' ἀναβᾶσα σὺν ἀμφιπόλοισι γυναιξὶ	{'ὑπερῷον': [21, '7.18'], 'εἰς': [864, '3.48'], 'ἀναβαίνω': [44, '6.44'], 'δέ': [12138, '0.92']}
3	2:23.1	γρηῢς δ' εἰς ὑπερῷ' ἀνεβήσετο καγχαλόωσα ,	18.0	47	2:19.602	ἐς δ' ὑπερῷ' ἀναβᾶσα σὺν ἀμφιπόλοισι γυναιξὶ	{'ὑπερῷον': [21, '7.18'], 'εἰς': [864, '3.48'], 'ἀναβαίνω': [44, '6.44'], 'δέ': [12138, '0.92']}
4	2:23.1	γρηῢς δ' εἰς ὑπερῷ' ἀνεβήσετο καγχαλόωσα ,	18.0	47	2:21.356	ἐς δ' ὑπερῷ' ἀναβᾶσα σὺν ἀμφιπόλοισι γυναιξὶ	{'ὑπερῷον': [21, '7.18'], 'εἰς': [864, '3.48'], 'ἀναβαίνω': [44, '6.44'], 'δέ': [12138, '0.92']}
5	2:23.1	γρηῢς δ' εἰς ὑπερῷ' ἀνεβήσετο καγχαλόωσα ,	17.1	45	2:17.49	εἰς ὑπερῷ' ἀναβᾶσα σὺν ἀμφιπόλοισι γυναιξὶν	{'ὑπερῷον': [21, '7.18'], 'εἰς': [864, '3.48'], 'ἀναβαίνω': [44, '6.44']}
6	2:23.1	γρηῢς δ' εἰς ὑπερῷ' ἀνεβήσετο καγχαλόωσα ,	17.1	50	2:2.358	μήτηρ εἰς ὑπερῷ' ἀναβῇ κοίτου τε μέδηται .	{'ὑπερῷον': [21, '7.18'], 'εἰς': [864, '3.48'], 'ἀναβαίνω': [44, '6.44']}
7	2:23.1	γρηῢς δ' εἰς ὑπερῷ' ἀνεβήσετο καγχαλόωσα ,	17.1	45	2:23.364	εἰς ὑπερῷ' ἀναβᾶσα σὺν ἀμφιπόλοισι γυναιξὶν	{'ὑπερῷον': [21, '7.18'], 'εἰς': [864, '3.48'], 'ἀναβαίνω': [44, '6.44']}
8	2:23.1	γρηῢς δ' εἰς ὑπερῷ' ἀνεβήσετο καγχαλόωσα ,	17.1	45	2:4.751	εἰς ὑπερῷ' ἀναβᾶσα σὺν ἀμφιπόλοισι γυναιξὶν	{'ὑπερῷον': [21, '7.18'], 'εἰς': [864, '3.48'], 'ἀναβαίνω': [44, '6.44']}
9	2:23.1	γρηῢς δ' εἰς ὑπερῷ' ἀνεβήσετο καγχαλόωσα ,	17.1	48	2:4.760	εἰς ὑπερῷ' ἀνέβαινε σὺν ἀμφιπόλοισι γυναιξίν ,	{'ὑπερῷον': [21, '7.18'], 'εἰς': [864, '3.48'], 'ἀναβαίνω': [44, '6.44']}
10	2:23.1	γρηῢς δ' εἰς ὑπερῷ' ἀνεβήσετο καγχαλόωσα ,	13.6	37	2:18.302	ἡ μὲν ἔπειτ' ἀνέβαιν' ὑπερώϊα δῖα γυναικῶν ,	{'ὑπερῷον': [21, '7.18'], 'ἀναβαίνω': [44, '6.44']}
11	2:23.1	γρηῢς δ' εἰς ὑπερῷ' ἀνεβήσετο καγχαλόωσα ,	13.6	46	2:19.600	ὣς εἰποῦσ' ἀνέβαιν' ὑπερώϊα σιγαλόεντα ,	{'ὑπερῷον': [21, '7.18'], 'ἀναβαίνω': [44, '6.44']}
12	2:23.1	γρηῢς δ' εἰς ὑπερῷ' ἀνεβήσετο καγχαλόωσα ,	13.6	37	2:22.428	ἀλλ' ἄγ' ἐγὼν ἀναβᾶσ' ὑπερώϊα σιγαλόεντα	{'ὑπερῷον': [21, '7.18'], 'ἀναβαίνω': [44, '6.44']}
13	2:23.1	γρηῢς δ' εἰς ὑπερῷ' ἀνεβήσετο καγχαλόωσα ,	10.8	32	1:16.657	ἐς δίφρον δ' ἀναβὰς φύγαδ' ἔτραπε , κέκλετο δ' ἄλλους	{'δέ': [12138, '0.92'], 'εἰς': [864, '3.48'], 'ἀναβαίνω': [44, '6.44']}
14	2:23.1	γρηῢς δ' εἰς ὑπερῷ' ἀνεβήσετο καγχαλόωσα ,	10.8	32	1:22.399	ἐς δίφρον δ' ἀναβὰς ἀνά τε κλυτὰ τεύχε' ἀείρας	{'δέ': [12138, '0.92'], 'εἰς': [864, '3.48'], 'ἀναβαίνω': [44, '6.44']}
15	2:23.1	γρηῢς δ' εἰς ὑπερῷ' ἀνεβήσετο καγχαλόωσα ,	10.8	29	2:13.285	οἱ δ' ἐς Σιδονίην εὖ ναιομένην ἀναβάντες	{'δέ': [12138, '0.92'], 'εἰς': [864, '3.48'], 'ἀναβαίνω': [44, '6.44']}
