index	base cit	base line	tf/idf score	edit dist	compared cit	compared line	shared lemmas
1	1:3.1	αὐτὰρ ἐπεὶ κόσμηθεν ἅμ' ἡγεμόνεσσιν ἕκαστοι ,	19.4	65	1:12.87	πένταχα κοσμηθέντες ἅμ' ἡγεμόνεσσιν ἕποντο .	{'κοσμέω': [12, '7.74'], 'ἅμα': [257, '4.68'], 'ἡγεμών': [26, '6.97']}
2	1:3.1	αὐτὰρ ἐπεὶ κόσμηθεν ἅμ' ἡγεμόνεσσιν ἕκαστοι ,	18.7	67	1:16.198	αὐτὰρ ἐπεὶ δὴ πάντας ἅμ' ἡγεμόνεσσιν Ἀχιλλεὺς	{'ἐπεί': [747, '3.61'], 'ἅμα': [257, '4.68'], 'ἡγεμών': [26, '6.97'], 'ἀτάρ': [901, '3.42']}
3	1:3.1	αὐτὰρ ἐπεὶ κόσμηθεν ἅμ' ἡγεμόνεσσιν ἕκαστοι ,	15.0	43	1:13.491	οἵ οἱ ἅμ' ἡγεμόνες Τρώων ἔσαν · αὐτὰρ ἔπειτα	{'ἅμα': [257, '4.68'], 'ἡγεμών': [26, '6.97'], 'ἀτάρ': [901, '3.42']}
4	1:3.1	αὐτὰρ ἐπεὶ κόσμηθεν ἅμ' ἡγεμόνεσσιν ἕκαστοι ,	11.7	44	1:16.351	οὗτοι ἄρ' ἡγεμόνες Δαναῶν ἕλον ἄνδρα ἕκαστος .	{'ἕκαστος': [228, '4.80'], 'ἡγεμών': [26, '6.97']}
5	1:3.1	αὐτὰρ ἐπεὶ κόσμηθεν ἅμ' ἡγεμόνεσσιν ἕκαστοι ,	11.7	40	1:9.85	ἕπτ' ἔσαν ἡγεμόνες φυλάκων , ἑκατὸν δὲ ἑκάστῳ	{'ἕκαστος': [228, '4.80'], 'ἡγεμών': [26, '6.97']}
6	1:3.1	αὐτὰρ ἐπεὶ κόσμηθεν ἅμ' ἡγεμόνεσσιν ἕκαστοι ,	11.6	57	1:13.801	χαλκῷ μαρμαίροντες ἅμ' ἡγεμόνεσσιν ἕποντο .	{'ἅμα': [257, '4.68'], 'ἡγεμών': [26, '6.97']}
7	1:3.1	αὐτὰρ ἐπεὶ κόσμηθεν ἅμ' ἡγεμόνεσσιν ἕκαστοι ,	11.6	47	2:15.310	ἀλλά μοι εὖ θ' ὑπόθευ καὶ ἅμ' ἡγεμόν' ἐσθλὸν ὄπασσον	{'ἅμα': [257, '4.68'], 'ἡγεμών': [26, '6.97']}
8	1:3.1	αὐτὰρ ἐπεὶ κόσμηθεν ἅμ' ἡγεμόνεσσιν ἕκαστοι ,	10.4	38	1:11.304	τοὺς ἄρ' ὅ γ' ἡγεμόνας Δαναῶν ἕλεν , αὐτὰρ ἔπειτα	{'ἡγεμών': [26, '6.97'], 'ἀτάρ': [901, '3.42']}
9	1:3.1	αὐτὰρ ἐπεὶ κόσμηθεν ἅμ' ἡγεμόνεσσιν ἕκαστοι ,	8.4	36	1:23.350	ἕζετ' , ἐπεὶ ᾧ παιδὶ ἑκάστου πείρατ' ἔειπε .	{'ἐπεί': [747, '3.61'], 'ἕκαστος': [228, '4.80']}
1	1:3.2	Τρῶες μὲν κλαγγῇ τ' ἐνοπῇ τ' ἴσαν ὄρνιθες ὣς	14.0	43	1:10.523	Τρώων δὲ κλαγγή τε καὶ ἄσπετος ὦρτο κυδοιμὸς	{'κλαγγή': [8, '8.15'], 'Τρώς': [642, '3.77'], 'τε': [4322, '2.13']}
