index	base cit	base line	tf/idf score	edit dist	compared cit	compared line	shared lemmas
1	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	17.4	67	12-1:22.508	νῦν δὲ σὲ μὲν παρὰ νηυσὶ κορωνίσι νόσφι τοκήων	{'μέν': [1872, 2.699, 1], 'παρά': [509, 4.004, 1], 'ναῦς': [997, 3.335, 1], 'κορωνίς': [17, 7.399, 1]}
2	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	16.3	59	12-1:02.392	μιμνάζειν παρὰ νηυσὶ κορωνίσιν , οὔ οἱ ἔπειτα	{'παρά': [509, 4.004, 1], 'ναῦς': [997, 3.335, 1], 'κορωνίς': [17, 7.399, 1], 'ὁ': [5870, 1.609, 1]}
3	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	15.0	56	12-1:02.771	ἀλλ' ὃ μὲν ἐν νήεσσι κορωνίσι ποντοπόροισι	{'ὁ': [5870, 1.609, 1], 'μέν': [1872, 2.699, 1], 'ναῦς': [997, 3.335, 1], 'κορωνίς': [17, 7.399, 1]}
4	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	15.0	56	12-1:07.229	ἀλλ' ὃ μὲν ἐν νήεσσι κορωνίσι ποντοπόροισι	{'ὁ': [5870, 1.609, 1], 'μέν': [1872, 2.699, 1], 'ναῦς': [997, 3.335, 1], 'κορωνίς': [17, 7.399, 1]}
5	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	15.0	52	12-2:19.182	ἀλλ' ὁ μὲν ἐν νήεσσι κορωνίσιν Ἴλιον ἴσω	{'ὁ': [5870, 1.609, 1], 'μέν': [1872, 2.699, 1], 'ναῦς': [997, 3.335, 1], 'κορωνίς': [17, 7.399, 1]}
6	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	14.7	59	12-1:18.338	τόφρα δέ μοι παρὰ νηυσὶ κορωνίσι κείσεαι αὔτως ,	{'παρά': [509, 4.004, 1], 'ναῦς': [997, 3.335, 1], 'κορωνίς': [17, 7.399, 1]}
7	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	14.7	51	12-1:02.297	ἀσχαλάαν παρὰ νηυσὶ κορωνίσιν · ἀλλὰ καὶ ἔμπης	{'παρά': [509, 4.004, 1], 'ναῦς': [997, 3.335, 1], 'κορωνίς': [17, 7.399, 1]}
8	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	14.7	56	12-1:24.115	Ἕκτορ' ἔχει παρὰ νηυσὶ κορωνίσιν οὐ δ' ἀπέλυσεν ,	{'παρά': [509, 4.004, 1], 'ναῦς': [997, 3.335, 1], 'κορωνίς': [17, 7.399, 1]}
9	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	14.7	53	12-1:24.136	Ἕκτορ' ἔχεις παρὰ νηυσὶ κορωνίσιν οὐ δ' ἀπέλυσας .	{'παρά': [509, 4.004, 1], 'ναῦς': [997, 3.335, 1], 'κορωνίς': [17, 7.399, 1]}
10	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	14.7	56	12-1:09.609	ἥ μ' ἕξει παρὰ νηυσὶ κορωνίσιν εἰς ὅ κ' ἀϋτμὴ	{'παρά': [509, 4.004, 1], 'ναῦς': [997, 3.335, 1], 'κορωνίς': [17, 7.399, 1]}
11	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	14.2	66	12-1:15.367	ὣς οἳ μὲν παρὰ νηυσὶν ἐρητύοντο μένοντες ,	{'ὡς': [2007, 2.638, 1], 'ὁ': [5870, 1.609, 1], 'μέν': [1872, 2.699, 1], 'παρά': [509, 4.004, 1], 'ναῦς': [997, 3.335, 1]}
12	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	11.6	43	12-2:12.032	οἱ μὲν κοιμήσαντο παρὰ πρυμνήσια νηός ,	{'ὁ': [5870, 1.609, 1], 'μέν': [1872, 2.699, 1], 'παρά': [509, 4.004, 1], 'ναῦς': [997, 3.335, 1]}
13	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	10.9	44	12-2:14.523	ὣς ὁ μὲν ἔνθ' Ὀδυσεὺς κοιμήσατο , τοὶ δὲ παρ' αὐτὸν	{'ὡς': [2007, 2.638, 1], 'ὁ': [5870, 1.609, 1], 'μέν': [1872, 2.699, 1], 'παρά': [509, 4.004, 1]}
14	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	10.7	44	12-1:13.301	τὼ μὲν ἄρ' ἐκ Θρῄκης Ἐφύρους μέτα θωρήσσεσθον ,	{'ὁ': [5870, 1.609, 1], 'μέν': [1872, 2.699, 1], 'θωρήσσω': [43, 6.471, 1]}
15	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	10.7	51	12-1:13.699	οἳ μὲν πρὸ Φθίων μεγαθύμων θωρηχθέντες	{'ὁ': [5870, 1.609, 1], 'μέν': [1872, 2.699, 1], 'θωρήσσω': [43, 6.471, 1]}
16	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	10.7	51	12-1:01.170	οἴκαδ' ἴμεν σὺν νηυσὶ κορωνίσιν , οὐ δέ σ' ὀΐω	{'ναῦς': [997, 3.335, 1], 'κορωνίς': [17, 7.399, 1]}
17	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	10.7	53	12-1:11.228	σὺν δυοκαίδεκα νηυσὶ κορωνίσιν , αἵ οἱ ἕποντο .	{'ναῦς': [997, 3.335, 1], 'κορωνίς': [17, 7.399, 1]}
18	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	10.7	53	12-1:15.597	Πριαμίδῃ , ἵνα νηυσὶ κορωνίσι θεσπιδαὲς πῦρ	{'ναῦς': [997, 3.335, 1], 'κορωνίς': [17, 7.399, 1]}
19	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	10.7	44	12-1:18.058	νηυσὶν ἐπιπροέηκα κορωνίσιν Ἴλιον εἴσω	{'ναῦς': [997, 3.335, 1], 'κορωνίς': [17, 7.399, 1]}
20	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	10.7	44	12-1:18.439	νηυσὶν ἐπιπροέηκα κορωνίσιν Ἴλιον εἴσω	{'ναῦς': [997, 3.335, 1], 'κορωνίς': [17, 7.399, 1]}
21	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	10.7	54	12-2:19.193	οἰχομένῳ σὺν νηυσὶ κορωνίσιν Ἴλιον εἴσω .	{'ναῦς': [997, 3.335, 1], 'κορωνίς': [17, 7.399, 1]}
22	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	10.2	57	12-1:16.001	ὣς οἳ μὲν περὶ νηὸς ἐϋσσέλμοιο μάχοντο ·	{'ὡς': [2007, 2.638, 1], 'ὁ': [5870, 1.609, 1], 'μέν': [1872, 2.699, 1], 'ναῦς': [997, 3.335, 1]}
23	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	10.2	35	12-2:08.500	ἔνθεν ἑλὼν ὡς οἱ μὲν ἐυσσέλμων ἐπὶ νηῶν	{'ὡς': [2007, 2.638, 1], 'ὁ': [5870, 1.609, 1], 'μέν': [1872, 2.699, 1], 'ναῦς': [997, 3.335, 1]}
24	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	10.0	52	12-1:10.001	ἄλλοι μὲν παρὰ νηυσὶν ἀριστῆες Παναχαιῶν	{'μέν': [1872, 2.699, 1], 'παρά': [509, 4.004, 1], 'ναῦς': [997, 3.335, 1]}
25	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	10.0	59	12-1:08.345	οἳ μὲν δὴ παρὰ νηυσὶν ἐρητύοντο μένοντες ,	{'μέν': [1872, 2.699, 1], 'παρά': [509, 4.004, 1], 'ναῦς': [997, 3.335, 1]}
26	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	10.0	42	12-2:10.447	οὐ δὲ μὲν Εὐρύλοχος κοίλῃ παρὰ νηὶ λέλειπτο ,	{'μέν': [1872, 2.699, 1], 'παρά': [509, 4.004, 1], 'ναῦς': [997, 3.335, 1]}
27	12-1:20.001	ὣς οἳ μὲν παρὰ νηυσὶ κορωνίσι θωρήσσοντο	9.9	42	12-1:07.294	ὡς σύ τ' ἐϋφρήνῃς πάντας παρὰ νηυσὶν Ἀχαιούς ,	{'ὡς': [2007, 2.638, 1], 'παρά': [509, 4.004, 1], 'ναῦς': [997, 3.335, 1]}
1	12-1:20.002	ἀμφὶ σὲ Πηλέος υἱὲ μάχης ἀκόρητον Ἀχαιοί ,	13.7	59	12-1:13.639	ἢ πολέμου · Τρῶες δὲ μάχης ἀκόρητοι ἔασιν .	{'μάχη': [134, 5.335, 1], 'ἀκόρητος': [6, 8.441, 1]}
2	12-1:20.002	ἀμφὶ σὲ Πηλέος υἱὲ μάχης ἀκόρητον Ἀχαιοί ,	13.4	52	12-1:16.021	ὦ Ἀχιλεῦ Πηλῆος υἱὲ μέγα φέρτατ' Ἀχαιῶν	{'Πηλεύς': [68, 6.013, 1], 'υἱός': [614, 3.813, 1], 'Ἀχαιός': [722, 3.651, 1]}
3	12-1:20.002	ἀμφὶ σὲ Πηλέος υἱὲ μάχης ἀκόρητον Ἀχαιοί ,	13.4	55	12-1:19.216	ὦ Ἀχιλεῦ Πηλῆος υἱὲ μέγα φέρτατ' Ἀχαιῶν ,	{'Πηλεύς': [68, 6.013, 1], 'υἱός': [614, 3.813, 1], 'Ἀχαιός': [722, 3.651, 1]}
4	12-1:20.002	ἀμφὶ σὲ Πηλέος υἱὲ μάχης ἀκόρητον Ἀχαιοί ,	13.4	52	12-2:11.478	ὦ Ἀχιλεῦ Πηλῆος υἱέ , μέγα φέρτατ' Ἀχαιῶν ,	{'Πηλεύς': [68, 6.013, 1], 'υἱός': [614, 3.813, 1], 'Ἀχαιός': [722, 3.651, 1]}
5	12-1:20.002	ἀμφὶ σὲ Πηλέος υἱὲ μάχης ἀκόρητον Ἀχαιοί ,	12.5	46	12-1:16.203	σχέτλιε Πηλέος υἱὲ χόλῳ ἄρα σ' ἔτρεφε μήτηρ ,	{'Πηλεύς': [68, 6.013, 1], 'υἱός': [614, 3.813, 1], 'σύ': [1900, 2.736, 1]}
6	12-1:20.002	ἀμφὶ σὲ Πηλέος υἱὲ μάχης ἀκόρητον Ἀχαιοί ,	12.5	47	12-1:22.250	οὔ σ' ἔτι Πηλέος υἱὲ φοβήσομαι , ὡς τὸ πάρος περ	{'σύ': [1900, 2.736, 1], 'Πηλεύς': [68, 6.013, 1], 'υἱός': [614, 3.813, 1]}
7	12-1:20.002	ἀμφὶ σὲ Πηλέος υἱὲ μάχης ἀκόρητον Ἀχαιοί ,	10.1	38	12-1:17.645	Ζεῦ πάτερ ἀλλὰ σὺ ῥῦσαι ὑπ' ἠέρος υἷας Ἀχαιῶν ,	{'σύ': [1900, 2.736, 1], 'υἱός': [614, 3.813, 1], 'Ἀχαιός': [722, 3.651, 1]}
8	12-1:20.002	ἀμφὶ σὲ Πηλέος υἱὲ μάχης ἀκόρητον Ἀχαιοί ,	9.8	43	12-1:01.489	διογενὴς Πηλῆος υἱὸς πόδας ὠκὺς Ἀχιλλεύς ·	{'Πηλεύς': [68, 6.013, 1], 'υἱός': [614, 3.813, 1]}
1	12-1:20.003	Τρῶες δ' αὖθ' ἑτέρωθεν ἐπὶ θρωσμῷ πεδίοιο ·	33.4	98	12-1:11.056	Τρῶες δ' αὖθ' ἑτέρωθεν ἐπὶ θρωσμῷ πεδίοιο	{'Τρώς': [642, 3.774, 1], 'δέ': [12138, 0.92, 1], 'αὖτε': [367, 4.327, 1], 'ἑτέρωθεν': [33, 6.736, 1], 'ἐπί': [1371, 3.02, 1], 'θρωσμός': [3, 9.134, 1], 'πεδίον': [114, 5.496, 1]}
2	12-1:20.003	Τρῶες δ' αὖθ' ἑτέρωθεν ἐπὶ θρωσμῷ πεδίοιο ·	21.4	62	12-1:10.160	οὐκ ἀΐεις ὡς Τρῶες ἐπὶ θρωσμῷ πεδίοιο	{'Τρώς': [642, 3.774, 1], 'ἐπί': [1371, 3.02, 1], 'θρωσμός': [3, 9.134, 1], 'πεδίον': [114, 5.496, 1]}
3	12-1:20.003	Τρῶες δ' αὖθ' ἑτέρωθεν ἐπὶ θρωσμῷ πεδίοιο ·	15.7	67	12-1:14.388	Τρῶας δ' αὖθ' ἑτέρωθεν ἐκόσμει φαίδιμος Ἕκτωρ .	{'Τρώς': [642, 3.774, 1], 'δέ': [12138, 0.92, 1], 'αὖτε': [367, 4.327, 1], 'ἑτέρωθεν': [33, 6.736, 1]}
4	12-1:20.003	Τρῶες δ' αὖθ' ἑτέρωθεν ἐπὶ θρωσμῷ πεδίοιο ·	15.7	67	12-1:18.243	Τρῶες δ' αὖθ' ἑτέρωθεν ἀπὸ κρατερῆς ὑσμίνης	{'Τρώς': [642, 3.774, 1], 'δέ': [12138, 0.92, 1], 'αὖτε': [367, 4.327, 1], 'ἑτέρωθεν': [33, 6.736, 1]}
5	12-1:20.003	Τρῶες δ' αὖθ' ἑτέρωθεν ἐπὶ θρωσμῷ πεδίοιο ·	15.7	67	12-1:08.055	Τρῶες δ' αὖθ' ἑτέρωθεν ἀνὰ πτόλιν ὁπλίζοντο	{'Τρώς': [642, 3.774, 1], 'δέ': [12138, 0.92, 1], 'αὖτε': [367, 4.327, 1], 'ἑτέρωθεν': [33, 6.736, 1]}
6	12-1:20.003	Τρῶες δ' αὖθ' ἑτέρωθεν ἐπὶ θρωσμῷ πεδίοιο ·	11.9	58	12-1:15.501	Αἴας δ' αὖθ' ἑτέρωθεν ἐκέκλετο οἷς ἑτάροισιν ·	{'δέ': [12138, 0.92, 1], 'αὖτε': [367, 4.327, 1], 'ἑτέρωθεν': [33, 6.736, 1]}
7	12-1:20.003	Τρῶες δ' αὖθ' ἑτέρωθεν ἐπὶ θρωσμῷ πεδίοιο ·	11.9	54	12-1:16.755	Ἕκτωρ δ' αὖθ' ἑτέρωθεν ἀφ' ἵππων ἆλτο χαμᾶζε .	{'δέ': [12138, 0.92, 1], 'αὖτε': [367, 4.327, 1], 'ἑτέρωθεν': [33, 6.736, 1]}
8	12-1:20.003	Τρῶες δ' αὖθ' ἑτέρωθεν ἐπὶ θρωσμῷ πεδίοιο ·	11.9	53	12-1:22.079	μήτηρ δ' αὖθ' ἑτέρωθεν ὀδύρετο δάκρυ χέουσα	{'δέ': [12138, 0.92, 1], 'αὖτε': [367, 4.327, 1], 'ἑτέρωθεν': [33, 6.736, 1]}
9	12-1:20.003	Τρῶες δ' αὖθ' ἑτέρωθεν ἐπὶ θρωσμῷ πεδίοιο ·	11.0	52	12-1:07.311	Αἴαντ' αὖθ' ἑτέρωθεν ἐϋκνήμιδες Ἀχαιοὶ	{'αὖτε': [367, 4.327, 1], 'ἑτέρωθεν': [33, 6.736, 1]}
10	12-1:20.003	Τρῶες δ' αὖθ' ἑτέρωθεν ἐπὶ θρωσμῷ πεδίοιο ·	10.1	33	12-1:11.836	κεῖσθαι · ὃ δ' ἐν πεδίῳ Τρώων μένει ὀξὺν Ἄρηα .	{'δέ': [12138, 0.92, 1], 'πεδίον': [114, 5.496, 1], 'Τρώς': [642, 3.774, 1]}
11	12-1:20.003	Τρῶες δ' αὖθ' ἑτέρωθεν ἐπὶ θρωσμῷ πεδίοιο ·	9.4	36	12-1:14.031	θῖν' ἔφ' ἁλὸς πολιῆς · τὰς γὰρ πρώτας πεδίον δὲ	{'ἐπί': [1371, 3.02, 1], 'πεδίον': [114, 5.496, 1], 'δέ': [12138, 0.92, 1]}
1	12-1:20.004	Ζεὺς δὲ Θέμιστα κέλευσε θεοὺς ἀγορὴν δὲ καλέσσαι	15.9	60	12-1:20.016	τίπτ' αὖτ' ἀργικέραυνε θεοὺς ἀγορὴν δὲ κάλεσσας ;	{'θεός': [769, 3.59, 1], 'ἀγορά': [71, 5.97, 1], 'δέ': [12138, 0.92, 1], 'καλέω': [112, 5.514, 1]}
2	12-1:20.004	Ζεὺς δὲ Θέμιστα κέλευσε θεοὺς ἀγορὴν δὲ καλέσσαι	14.1	49	12-1:08.002	Ζεὺς δὲ θεῶν ἀγορὴν ποιήσατο τερπικέραυνος	{'Ζεύς': [709, 3.672, 1], 'δέ': [12138, 0.92, 1], 'θεός': [769, 3.59, 1], 'ἀγορά': [71, 5.97, 1]}
3	12-1:20.004	Ζεὺς δὲ Θέμιστα κέλευσε θεοὺς ἀγορὴν δὲ καλέσσαι	13.5	35	12-1:09.033	ἣ θέμις ἐστὶν ἄναξ ἀγορῇ · σὺ δὲ μή τι χολωθῇς .	{'θέμις': [34, 6.706, 1], 'ἀγορά': [71, 5.97, 1], 'δέ': [12138, 0.92, 1]}
4	12-1:20.004	Ζεὺς δὲ Θέμιστα κέλευσε θεοὺς ἀγορὴν δὲ καλέσσαι	13.5	29	12-2:09.112	τοῖσιν δ' οὔ τ' ἀγοραὶ βουληφόροι οὔ τε θέμιστες ,	{'δέ': [12138, 0.92, 1], 'ἀγορά': [71, 5.97, 1], 'θέμις': [34, 6.706, 1]}
5	12-1:20.004	Ζεὺς δὲ Θέμιστα κέλευσε θεοὺς ἀγορὴν δὲ καλέσσαι	13.3	48	12-1:01.054	τῇ δεκάτῃ δ' ἀγορὴν δὲ καλέσσατο λαὸν Ἀχιλλεύς ·	{'δέ': [12138, 0.92, 2], 'ἀγορά': [71, 5.97, 1], 'καλέω': [112, 5.514, 1]}
6	12-1:20.004	Ζεὺς δὲ Θέμιστα κέλευσε θεοὺς ἀγορὴν δὲ καλέσσαι	12.6	36	12-1:11.807	ἷξε θέων Πάτροκλος , ἵνά σφ' ἀγορή τε θέμις τε	{'ἀγορά': [71, 5.97, 1], 'θέμις': [34, 6.706, 1]}
7	12-1:20.004	Ζεὺς δὲ Θέμιστα κέλευσε θεοὺς ἀγορὴν δὲ καλέσσαι	12.6	31	12-1:16.387	οἳ βίῃ εἰν ἀγορῇ σκολιὰς κρίνωσι θέμιστας ,	{'ἀγορά': [71, 5.97, 1], 'θέμις': [34, 6.706, 1]}
8	12-1:20.004	Ζεὺς δὲ Θέμιστα κέλευσε θεοὺς ἀγορὴν δὲ καλέσσαι	12.4	32	12-2:10.114	ἡ δ' αἶψ' ἐξ ἀγορῆς ἐκάλει κλυτὸν Ἀντιφατῆα ,	{'δέ': [12138, 0.92, 1], 'ἀγορά': [71, 5.97, 1], 'καλέω': [112, 5.514, 1]}
9	12-1:20.004	Ζεὺς δὲ Θέμιστα κέλευσε θεοὺς ἀγορὴν δὲ καλέσσαι	12.4	43	12-2:03.137	τὼ δὲ καλεσσαμένω ἀγορὴν ἐς πάντας Ἀχαιούς ,	{'δέ': [12138, 0.92, 1], 'καλέω': [112, 5.514, 1], 'ἀγορά': [71, 5.97, 1]}
10	12-1:20.004	Ζεὺς δὲ Θέμιστα κέλευσε θεοὺς ἀγορὴν δὲ καλέσσαι	11.4	46	12-1:19.034	ἀλλὰ σύ γ' εἰς ἀγορὴν καλέσας ἥρωας Ἀχαιοὺς	{'ἀγορά': [71, 5.97, 1], 'καλέω': [112, 5.514, 1]}
11	12-1:20.004	Ζεὺς δὲ Θέμιστα κέλευσε θεοὺς ἀγορὴν δὲ καλέσσαι	11.4	37	12-2:01.090	εἰς ἀγορὴν καλέσαντα κάρη κομόωντας Ἀχαιοὺς	{'ἀγορά': [71, 5.97, 1], 'καλέω': [112, 5.514, 1]}
12	12-1:20.004	Ζεὺς δὲ Θέμιστα κέλευσε θεοὺς ἀγορὴν δὲ καλέσσαι	11.4	44	12-2:01.272	αὔριον εἰς ἀγορὴν καλέσας ἥρωας Ἀχαιοὺς	{'ἀγορά': [71, 5.97, 1], 'καλέω': [112, 5.514, 1]}
13	12-1:20.004	Ζεὺς δὲ Θέμιστα κέλευσε θεοὺς ἀγορὴν δὲ καλέσσαι	11.4	37	12-2:17.052	αὐτὰρ ἐγὼν ἀγορὴν ἐσελεύσομαι , ὄφρα καλέσσω	{'ἀγορά': [71, 5.97, 1], 'καλέω': [112, 5.514, 1]}
14	12-1:20.004	Ζεὺς δὲ Θέμιστα κέλευσε θεοὺς ἀγορὴν δὲ καλέσσαι	10.9	45	12-2:10.305	μῶλυ δέ μιν καλέουσι θεοί · χαλεπὸν δέ τ' ὀρύσσειν	{'δέ': [12138, 0.92, 2], 'καλέω': [112, 5.514, 1], 'θεός': [769, 3.59, 1]}
15	12-1:20.004	Ζεὺς δὲ Θέμιστα κέλευσε θεοὺς ἀγορὴν δὲ καλέσσαι	10.4	46	12-1:14.278	ὄμνυε δ' ὡς ἐκέλευε , θεοὺς δ' ὀνόμηνεν ἅπαντας	{'δέ': [12138, 0.92, 2], 'κελεύω': [190, 4.986, 1], 'θεός': [769, 3.59, 1]}
16	12-1:20.004	Ζεὺς δὲ Θέμιστα κέλευσε θεοὺς ἀγορὴν δὲ καλέσσαι	10.3	31	12-2:16.403	εἰ μέν κ' αἰνήσωσι Διὸς μεγάλοιο θέμιστες ,	{'Ζεύς': [709, 3.672, 1], 'θέμις': [34, 6.706, 1]}
17	12-1:20.004	Ζεὺς δὲ Θέμιστα κέλευσε θεοὺς ἀγορὴν δὲ καλέσσαι	10.3	33	12-2:02.068	λίσσομαι ἠμὲν Ζηνὸς Ὀλυμπίου ἠδὲ Θέμιστος ,	{'Ζεύς': [709, 3.672, 1], 'θέμις': [34, 6.706, 1]}
18	12-1:20.004	Ζεὺς δὲ Θέμιστα κέλευσε θεοὺς ἀγορὴν δὲ καλέσσαι	10.0	34	12-1:01.403	ὃν Βριάρεων καλέουσι θεοί , ἄνδρες δέ τε πάντες	{'καλέω': [112, 5.514, 1], 'θεός': [769, 3.59, 1], 'δέ': [12138, 0.92, 1]}
19	12-1:20.004	Ζεὺς δὲ Θέμιστα κέλευσε θεοὺς ἀγορὴν δὲ καλέσσαι	10.0	49	12-1:16.693	Πατρόκλεις , ὅτε δή σε θεοὶ θάνατον δὲ κάλεσσαν ;	{'θεός': [769, 3.59, 1], 'δέ': [12138, 0.92, 1], 'καλέω': [112, 5.514, 1]}
20	12-1:20.004	Ζεὺς δὲ Θέμιστα κέλευσε θεοὺς ἀγορὴν δὲ καλέσσαι	10.0	38	12-1:20.074	ὃν Ξάνθον καλέουσι θεοί , ἄνδρες δὲ Σκάμανδρον .	{'καλέω': [112, 5.514, 1], 'θεός': [769, 3.59, 1], 'δέ': [12138, 0.92, 1]}
21	12-1:20.004	Ζεὺς δὲ Θέμιστα κέλευσε θεοὺς ἀγορὴν δὲ καλέσσαι	10.0	46	12-1:22.297	ὢ πόποι ἦ μάλα δή με θεοὶ θάνατον δὲ κάλεσσαν ·	{'θεός': [769, 3.59, 1], 'δέ': [12138, 0.92, 1], 'καλέω': [112, 5.514, 1]}
22	12-1:20.004	Ζεὺς δὲ Θέμιστα κέλευσε θεοὺς ἀγορὴν δὲ καλέσσαι	10.0	34	12-2:10.255	ἢ θεὸς ἠὲ γυνή · τοὶ δὲ φθέγγοντο καλεῦντες .	{'θεός': [769, 3.59, 1], 'δέ': [12138, 0.92, 1], 'καλέω': [112, 5.514, 1]}
